Stim #,1,2,3,4,5,6,7,8,9,FiberDepthMean
c488Bm7,Surface licking,Surface licking,no licking,Self licking,no licking,no licking,no licking,no licking,no licking,3.85
c482m6,Self licking,Surface licking,Self licking,no licking,Self licking,Self licking,Self licking,Self licking,no licking,3.885
c494m2,no licking,no licking,no licking,no licking,no licking,no licking,no licking,no licking,no licking,4.3
c488Bm10,Self licking,Self licking,Self licking,Self licking,Self licking,no licking,no licking,no licking,no licking,3.825
c488Bm11,no licking,Self licking,no licking,Self licking,no licking,no licking,no licking,no licking,no licking,3.85
c488Bm12,no licking,Surface licking,Self licking,no licking,no licking,Self licking,Self licking,Self licking,no licking,3.85
c482m4,Self licking,Self licking,Self licking,Self licking,Self licking,no licking,Surface licking,no licking,Self licking,3.565
c494m1,Surface licking,Surface licking,Surface licking,Surface licking,Self licking,Surface licking,Surface licking,Surface licking,Surface licking,4.21
c482m5,Self licking,Self licking,Self licking,Self licking,Self licking,Self licking,Self licking,Self licking,Self licking,3.55
c482m10,Surface licking,Self licking,Self licking,Self licking,Self licking,Self licking,Self licking,Self licking,Self licking,3.315
c488Bm8,Self licking,Self licking,no licking,no licking,no licking,no licking,Self licking,no licking,Self licking,3.55
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
